Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
SPD682,MgO,4.9,196,13.4,0.68,97,0.921,"12,968",In Nitrogen Box,Reproducibility w/ Mod New C2,,AED,2/13/13,274,MgO,,,800,90,400,8,26.5,2.5,40,,,0.1996,0.5462,0.2542,based on T,4.94,,195.9,,13.4,0.68,0.92,,96.78,"12,967.87",3.29,
SPD683,MgO,5.2,242,12.93,0.98,126,0.828,"16,241",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination. After serving as the backside absorbed for SPD721 the Rs was ~230,,AED,2/13/13,274,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2189,0.5348,0.2462,based on T,5.19,,242,,12.93,0.98,0.83,,125.61,"16,241.28",3.46,
SPD684,MgO,5,197,12.86,0.45,99,0.913,"12,712",In Nitrogen Box,Reproducibility w/ Mod New C2,,YI,2/13/13,274,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2043,0.5419,0.2538,based on T,5.03,,196.5,,12.86,0.45,0.91,,98.85,"12,712.42",3.35,
SPD685,MgO,5.1,245,12.45,0.9,125,0.822,"15,604",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination.,,YI,2/13/13,274,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2045,0.5381,0.2575,based on T,5.12,,244.8,,12.45,0.9,0.82,,125.33,"15,603.72",3.41,
SPD686,MgO,5.2,222,12.38,1,115,0.84,"14,238",In Nitrogen Box,Reproducibility w/ Mod New C2,,FB,2/13/13,275,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2122,0.5349,0.2529,based on T,5.19,,221.6,,12.38,1,0.84,,115.01,"14,237.85",3.46,
SPD687,MgO,5.1,230,13.13,1.7,118,0.834,"15,448",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination.,,YI,2/13/13,275,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2106,0.5382,0.2512,based on T,5.11,,230.2,,13.13,1.7,0.83,,117.66,"15,448.21",3.41,
SPD688,MgO,5.4,234,11.89,0.7,126,0.826,"14,935",In Nitrogen Box,Reproducibility w/ Mod New C2,,FB,2/13/13,275,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2203,0.5278,0.2519,based on T,5.36,,234.3,,11.89,0.7,0.83,,125.61,"14,935.21",3.57,
SPD689,MgO,5,192,13.66,0.6,96,0.881,"13,072",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination.,,YI,2/13/13,275,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2218,0.5441,0.2342,based on T,4.98,,192.2,,13.66,0.6,0.88,,95.69,"13,071.65",3.32,
SPD690,MgO,5.1,247,12.08,0.75,127,0.859,"15,365",In Nitrogen Box,Reproducibility w/ Mod New C2,,,2/14/13,276,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2114,0.5371,0.2514,based on T,5.14,,247.5,,12.08,0.75,0.86,,127.2,"15,365.30",3.43,
SPD691,MgO,5.2,242,12.9,1.33,125,0.843,"16,143",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination.,,YI,2/14/13,276,MgO,,,800,90,400,8,26.5,2.5,40,,,0.214,0.5355,0.2505,based on T,5.18,,241.6,,12.9,1.33,0.84,,125.14,"16,142.57",3.45,
SPD692,MgO,5.3,241,11.68,0.86,127,0.848,"14,832",In Nitrogen Box,Reproducibility w/ Mod New C2,,,2/14/13,276,MgO,,,800,90,400,8,26.5,2.5,40,,,0.211,0.5312,0.2578,based on T,5.28,,240.5,,11.68,0.86,0.85,,126.99,"14,832.05",3.52,
SPD693,MgO,5.1,242,12.43,0.7,124,0.864,"15,410",In Nitrogen Box,Reproducibility w/ Mod New C2; Direct Illumination.,,YI,2/14/13,276,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2099,0.5377,0.2524,based on T,5.13,,241.7,,12.43,0.7,0.86,,123.97,"15,409.98",3.42,
SPD694,MgO,5.5,306,10.6,,169,0.833,"17,952",In Nitrogen Box,Front Absorber,,,2/15/13,277,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2104,0.5203,0.2692,based on T,5.53,,306.3,,10.6,,0.83,,169.36,"17,951.86",3.69,
SPD695,MgO,4.9,216,13.85,,106,0.88,"14,675",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/15/13,277,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2075,0.5479,0.2446,based on T,4.9,,216.2,,13.85,,0.88,,105.96,"14,675.17",3.27,
SPD696,MgO,5.6,318,10.67,,177,0.815,"18,922",In Nitrogen Box,Front Absorber,,,2/15/13,277,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2093,0.5187,0.272,based on T,5.57,,318.4,,10.67,,0.82,,177.34,"18,922.17",3.71,
SPD697,MgO,4.8,209,13.84,,101,0.858,"13,915",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/15/13,277,MgO,,,800,90,400,8,26.5,2.5,40,,,0.203,0.5528,0.2442,based on T,4.8,,209.5,,13.84,,0.86,,100.54,"13,914.90",3.2,
SPD698,MgO,5.7,381,10.34,0.94,217,0.81,"22,445",In Nitrogen Box,Front Absorber,,,2/20/13,278,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2101,0.5129,0.277,based on T,5.7,,380.8,,10.34,0.94,0.81,,217.07,"22,445.34",3.8,
SPD699,MgO,4.8,234,13.39,0.92,113,0.83,"15,116",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/20/13,278,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2069,0.5515,0.2416,based on T,4.83,,233.7,,13.39,0.92,0.83,,112.89,"15,115.89",3.22,
SPD700,MgO,5.3,338,10.57,0.71,178,0.751,"18,848",In Nitrogen Box,Front Absorber,,,2/20/13,278,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2051,0.5314,0.2634,based on T,5.27,,338.4,,10.57,0.71,0.75,,178.32,"18,848.34",3.51,
SPD701,MgO,4.9,229,13.92,0.7,112,0.915,"15,626",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/20/13,278,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2011,0.5478,0.2511,based on T,4.9,,229.1,,13.92,0.7,0.92,,112.25,"15,625.54",3.27,
SPD702,Al2O3,5.9,389,10,1.43,228,0.845,"22,774",In Nitrogen Box,Front Absorber,,,2/21/13,279,Al2O3,,,800,90,400,8,26.5,2.5,40,,,0.2152,0.5051,0.2797,based on T,5.85,,389.3,,10,1.43,0.84,,227.74,"22,774.31",3.9,
SPD703,Al2O3,5.8,304,12.32,1.21,175,0.885,"21,574",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/21/13,279,Al2O3,,,800,90,400,8,26.5,2.5,40,,,0.2126,0.5089,0.2786,based on T,5.76,,304,,12.32,1.21,0.89,,175.12,"21,574.34",3.84,
SPD704,Al2O3,5.9,408,,,240,,0,In Nitrogen Box,Front Absorber,,,2/21/13,279,Al2O3,,,800,90,400,8,26.5,2.5,40,,,0.2166,0.5035,0.2799,based on T,5.89,,408,,,,,,240.33,0,3.93,
SPD705,Al2O3,5.7,313,12.19,,178,,"21,757",In Nitrogen Box,Front Absorber; Direct Illumination,,,2/21/13,279,Al2O3,,,800,90,400,8,26.5,2.5,40,,,0.2121,0.511,0.2769,based on T,5.71,,312.6,,12.19,,,,178.49,"21,757.48",3.81,
SPD706,Al2O3,3.7,731,7.03,1.37,268,0.747,"18,850",In Nitrogen Box,Front Absorber,,KAS,2/21/13,280,Al2O3,,,800,60,400,8,26.5,2.5,40,,,0.1814,0.6067,0.2119,based on T,3.67,,730.6,,7.03,1.37,0.75,,268.14,"18,849.94",3.67,
SPD707,Al2O3,3.6,551,11.08,1.84,201,0.843,"22,235",In Nitrogen Box,Front Absorber; Direct Illumination,,KAS,2/21/13,280,Al2O3,,,800,60,400,8,26.5,2.5,40,,,0.1839,0.6084,0.2078,based on T,3.64,,551.3,,11.08,1.84,0.84,,200.68,"22,234.85",3.64,
SPD708,Al2O3,3.8,778,7.64,1.36,297,0.721,"22,695",In Nitrogen Box,Front Absorber,,KAS,2/21/13,280,Al2O3,,,800,60,400,8,26.5,2.5,40,,,0.1846,0.5987,0.2167,based on T,3.82,,777.6,,7.64,1.36,0.72,,297.05,"22,694.91",3.82,
SPD709,Al2O3,3.6,601,10.3,1.7,218,0.832,"22,471",In Nitrogen Box,Front Absorber; Direct Illumination,,KAS,2/21/13,280,Al2O3,,,800,60,400,8,26.5,2.5,40,,,0.1805,0.609,0.2105,based on T,3.63,,601,,10.3,1.7,0.83,,218.16,"22,470.62",3.63,
SPD710,Al2O3,4.2,508,9.7,1.16,214,0.833,"20,796",In Nitrogen Box,Front Absorber; Direct Illumination,,KAS,2/25/13,281,Al2O3,,,800,69,400,8,26.5,2.5,40,,,0.1883,0.5785,0.2332,based on T,4.22,,508,,9.7,1.16,0.83,,214.39,"20,796.13",3.67,
SPD711,Al2O3,4.1,520,9.99,1.27,213,0.829,"21,317",In Nitrogen Box,Front Absorber; Direct Illumination,,KAS,2/25/13,281,Al2O3,,,800,69,400,8,26.5,2.5,40,,,0.1853,0.5843,0.2304,based on T,4.1,,520.4,,9.99,1.27,0.83,,213.38,"21,316.72",3.57,
SPD712,MgO,5.2,585,7.14,1.57,301,0.489,"21,499",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT,,,2/26/13,282,MgO,,,20,90,400,8,26.5,2.5,40,,,0.2047,0.5368,0.2585,based on T,5.15,,584.7,,7.14,1.57,0.49,,301.11,"21,498.92",3.43,
SPD713,MgO,5.3,515,9.88,1.71,270,0.716,"26,713",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT. Direct Illumination.,,,2/26/13,282,MgO,,,20,90,400,8,26.5,2.5,40,,,0.2043,0.5325,0.2631,based on T,5.25,,515,,9.88,1.71,0.72,,270.37,"26,712.99",3.5,
SPD714,MgO,5.4,830,5.45,1.51,448,0.542,"24,419",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT,,,2/26/13,282,MgO,,,20,90,400,8,26.5,2.5,40,,,0.2002,0.526,0.2738,based on T,5.4,,829.7,,5.45,1.51,0.54,,448.05,"24,418.81",3.6,
SPD715,MgO,4.6,304,12.49,1.78,140,0.679,"17,531",In Nitrogen Box,"Full Anneal: 90s at RT; 0s at HT. Direct Illumination. Odd looking Tc curve, not smooth.",,,2/26/13,282,MgO,,,20,90,400,8,26.5,2.5,40,,,0.1972,0.5619,0.2409,based on T,4.61,,304.5,,12.49,1.78,0.68,,140.36,"17,530.90",3.07,
SPD716,MgO,5.3,638,6.88,1.68,336,0.529,"23,133",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT- system failed well after dep was finished; chips should still be ok,,,2/27/13,283,MgO,,,20,90,400,8,26.5,2.5,40,,,0.2061,0.5315,0.2624,based on T,5.27,,638,,6.88,1.68,0.53,,336.23,"23,132.96",3.51,
SPD717,MgO,4.6,323,11.39,1.36,149,0.642,"16,934",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT- system failed well after dep was finished; chips should still be ok. Direct Illumination.,,,2/27/13,283,MgO,,,20,90,400,8,26.5,2.5,40,,,0.1954,0.5625,0.2421,based on T,4.6,,323.2,,11.39,1.36,0.64,,148.67,"16,933.81",3.07,
SPD718,MgO,5.2,604,7.43,1.72,312,0.535,"23,206",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT- system failed well after dep was finished; chips should still be ok,,,2/27/13,283,MgO,,,20,90,400,8,26.5,2.5,40,,,0.2003,0.5358,0.2638,based on T,5.17,,604.1,,7.43,1.72,0.54,,312.33,"23,206.04",3.45,
SPD719,MgO,5,378,12.07,1.54,189,0.758,"22,771",In Nitrogen Box,Full Anneal: 90s at RT; 0s at HT- system failed well after dep was finished; chips should still be ok. Direct Illumination.,,,2/27/13,283,MgO,,,20,90,400,8,26.5,2.5,40,,,0.1983,0.5434,0.2584,based on T,4.99,,378.1,,12.07,1.54,0.76,,188.65,"22,770.55",3.33,
SPD720,MgO,,22,16.35,,0,,0,In Nitrogen Box,SPD682 used as backside absorber,,,3/4/13,284,MgO,,,800,600,400,8,26.5,2.5,40,,,,,,,,,21.8,,16.35,,,,0,0,0,
SPD721,MgO,,22,16.23,,0,1.032,0,In Nitrogen Box,SPD683 used as backside absorber,,,3/4/13,284,MgO,,,800,600,400,8,26.5,2.5,40,,,,,,,,,21.8,,16.23,,1.03,,0,0,0,
SPD722,MgO,4.9,344,10.25,1.39,170,,"17,401",In Nitrogen Box,Same as Front Absorber Runs,,,3/5/13,285,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2093,0.5463,0.2443,based on T,4.93,,344.3,,10.25,1.39,,,169.76,"17,400.54",3.29,
SPD723,MgO,4.6,266,12.62,1.19,122,,"15,422",In Nitrogen Box,Same as Front Absorber. This sample had Direct Illumination.,,,3/5/13,285,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2148,0.5626,0.2226,based on T,4.6,,265.7,,12.62,1.19,,,122.2,"15,422.21",3.07,
SPD724,MgO,4.9,331,10.67,1.34,163,,"17,370",In Nitrogen Box,Same as Front Absorber Runs,,,3/5/13,285,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2144,0.5471,0.2385,based on T,4.92,,330.9,,10.67,1.34,,,162.79,"17,369.65",3.28,
SPD725,MgO,4.7,230,13.76,0.98,108,,"14,879",In Nitrogen Box,Same as Front Absorber. This sample had Direct Illumination.,,,3/5/13,285,MgO,,,800,90,400,8,26.5,2.5,40,,,0.2109,0.5577,0.2314,based on T,4.7,,230.1,,13.76,0.98,,,108.13,"14,878.95",3.13,
SPD726,MgO,,7,16.3,,0,,0,In Nitrogen Box,"Thick Film / Cleaning. Film looks textured, non-uniform. (these were part of a failed cleaning experiment. Likely texture is linked to cleaning).",,,3/8/13,286,MgO,,,800,1500,400,8,26.5,2.5,40,,,,,,,,,6.8,,16.3,,,,0,0,0,
SPD727,MgO,,7,16.4,,0,,0,In Nitrogen Box,"Thick Film / Cleaning. Film looks textured, non-uniform (these were part of a failed cleaning experiment. Likely texture is linked to cleaning).",,,3/8/13,286,MgO,,,800,1500,400,8,26.5,2.5,40,,,,,,,,,7.4,,16.4,,,,0,0,0,
SPD728,MgO,,9,16.2,,0,,0,In Nitrogen Box,"Thick Film / Cleaning. Film looks textured, non-uniform. Direct Optical access (these were part of a failed cleaning experiment. Likely texture is linked to cleaning).",,,3/8/13,286,MgO,,,800,1500,400,8,26.5,2.5,40,,,,,,,,,9.2,,16.2,,,,0,0,0,
SPD729,MgO,,7,15.09,,0,,0,In Nitrogen Box,Thick Film / Cleaning. Looks normal unlike other films 726-728.,,,3/8/13,286,MgO,,,800,1500,400,8,26.5,2.5,40,,,,,,,,,7.1,,15.09,,,,0,0,0,
SPD730,MgO,,9,15.17,,0,,0,In Nitrogen Box,Thick Film / Cleaning.  Looks normal unlike other films 726-728. Backside absorber. Direct optical access.,,,3/8/13,286,MgO,,,800,1500,400,8,26.5,2.5,40,,,,,,,,,8.5,,15.17,,,,0,0,0,
SPD731,MgO,4,249,11.72,0.69,99,0.971,"11,602",In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1814,0.5934,0.2253,based on T,3.97,,249.4,,11.72,0.69,0.97,,99.02,"11,602.43",3.5,
SPD732,MgO,4.3,266,12.02,0.71,114,0.958,"13,724",In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1947,0.5777,0.2276,based on T,4.29,,266.2,,12.02,0.71,0.96,,114.2,"13,724.39",3.79,
SPD733,MgO,,292,0,,0,,0,In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,,,,,,,292,,0,,,,0,0,0,
SPD734,MgO,4.1,270,10.91,0.78,110,0.95,"12,000",In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1883,0.5884,0.2233,based on T,4.07,,270.2,,10.91,0.78,0.95,,109.99,"11,999.71",3.59,
SPD735,MgO,3.9,269,11.34,0.61,106,0.949,"12,024",In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1879,0.5951,0.217,based on T,3.94,,269.2,,11.34,0.61,0.95,,106.05,"12,024.32",3.48,
SPD736,MgO,,299,5.01,0.99,0,0.904,0,In Nitrogen Box,Cleaning Experiment,,,3/12/13,287,MgO,,,800,68,400,5.3,26.5,3.2,40,,,,,,,,,298.8,,5.01,0.99,0.9,,0,0,0,
SPD737,SiNx,,498,9.23,1.5,0,0.726,0,In Tc Cryo,"Films for replicating recent fab success; Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,SiNx,,,800,69,400,8,26.5,2.5,40,,,,,,,,,498.5,,9.23,1.5,0.73,,0,0,0,
SPD738,SiNx,,491,9.25,1.52,0,0.727,0,In Tc Cryo,"Films for replicating recent fab success. Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,SiNx,,,800,69,400,8,26.5,2.5,40,,,,,,,,,491.4,,9.25,1.52,0.73,,0,0,0,
SPD739,MgO,,316,,,0,,0,In Nitrogen Box,"Films for replicating recent fab success. Direct Optical Access. Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,MgO,,,800,69,400,8,26.5,2.5,40,,,,,,,,,316.4,,,,,,0,0,0,
SPD740,SiNx,,498,9.3,1.41,0,0.722,0,In Tc Cryo,"Films for replicating recent fab success. Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,SiNx,,,800,69,400,8,26.5,2.5,40,,,,,,,,,498,,9.3,1.41,0.72,,0,0,0,
SPD741,SiNx,,498,8.86,1.41,0,0.718,0,In Tc Cryo,"Films for replicating recent fab success. Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,SiNx,,,800,69,400,8,26.5,2.5,40,,,,,,,,,498,,8.86,1.41,0.72,,0,0,0,
SPD742,SiNx,,354,12.59,1.34,0,0.889,0,In Tc Cryo,"Films for replicating recent fab success. Direct Optical Access. Plasma failed multiple times, films deposited over three runs.",,,3/14/13,288,SiNx,,,800,69,400,8,26.5,2.5,40,,,,,,,,,354.3,,12.59,1.34,0.89,,0,0,0,
SPD743,Al2O3,,,,,0,,0,In Nitrogen Box,"15 seconds at room temp, then 60 seconds at high temp",,,3/18/13,290,Al2O3,,,800,75,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD744,Al2O3,,,,,0,,0,In Nitrogen Box,"15 seconds at room temp, then 60 seconds at high temp. Direct Optical Access",,,3/18/13,290,Al2O3,,,800,75,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD745,Al2O3,,,,,0,,0,In Nitrogen Box,"15 seconds at room temp, then 60 seconds at high temp",,,3/18/13,290,Al2O3,,,800,75,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD746,Al2O3,,,,,0,,0,In Nitrogen Box,"15 seconds at room temp, then 60 seconds at high temp. Direct Optical Access",,,3/18/13,290,Al2O3,,,800,75,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD747,SiNx,,600,10.34,,0,0.804,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,600,,10.34,,0.8,,0,0,0,
SPD748,SiNx,,597,10.32,,0,0.803,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,596.8,,10.32,,0.8,,0,0,0,
SPD749,SiNx,,518,10.92,1.88,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success. Direct Optical Access.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,518.2,,10.92,1.88,,,0,0,0,
SPD750,SiNx,,608,10.3,,0,0.799,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,608.1,,10.3,,0.8,,0,0,0,
SPD751,SiNx,,602,10.35,,0,0.806,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,601.8,,10.35,,0.81,,0,0,0,
SPD752,SiNx,,517,11.21,,0,0.857,0,In Nitrogen Box,Films on SiN for replicating recent fab success.  Direct Optical Access.,,,3/18/13,291,SiNx,,,800,72,400,8,26.5,2.5,40,,,,,,,,,517.1,,11.21,,0.86,,0,0,0,
SPD753,SiNx,,605,10.19,,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,604.8,,10.19,,,,0,0,0,
SPD754,SiNx,,600,10.1,,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,600.3,,10.1,,,,0,0,0,
SPD755,SiNx,,516,10.94,1.81,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success. Direct Optical Access.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,515.5,,10.94,1.81,,,0,0,0,
SPD756,SiNx,,593,10.29,1.96,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,592.5,,10.29,1.96,,,0,0,0,
SPD757,SiNx,,589,10.33,2,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,588.7,,10.33,2,,,0,0,0,
SPD758,SiNx,,520,10.98,1.79,0,,0,In Nitrogen Box,Films on SiN for replicating recent fab success.  Direct Optical Access.,,,3/18/13,292,SiNx,,,800,75,400,8,26.5,2.5,40,,,,,,,,,520.3,,10.98,1.79,,,0,0,0,
SPD759,MgO,3.9,245,11.76,0.55,96,,"11,274",In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1981,0.5964,0.2054,based on T,3.91,,245.2,,11.76,0.55,,,95.87,"11,273.76",3.45,
SPD760,MgO,3.9,252,12.51,,98,,"12,268",In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1929,0.5978,0.2094,based on T,3.89,,252.1,,12.51,,,,98.06,"12,267.70",3.43,
SPD761,MgO,,,,,0,,0,In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,,,,,,,,,,,,,0,0,0,
SPD762,MgO,3.9,251,12.41,,97,,"12,017",In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.1995,0.5991,0.2014,based on T,3.86,,250.9,,12.41,,,,96.83,"12,016.53",3.41,
SPD763,MgO,4,285,11.26,0.89,115,,"12,911",In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,0.2041,0.5899,0.2061,based on T,4.03,,284.5,,11.26,0.89,,,114.66,"12,910.65",3.56,
SPD764,MgO,,257,4.5,,0,,0,In Nitrogen Box,Cleaning Experiment,,,3/20/13,293,MgO,,,800,68,400,5.3,26.5,3.2,40,,,,,,,,,256.7,,4.5,,,,0,0,0,
SPD765,MgO,,"1,060",,,0,,0,In Nitrogen Box,Targeting 500 ohm/sq on RT MgO,,,3/25/13,295,MgO,,,20,75,400,8,26.5,2.5,40,,,,,,,,,"1,060.10",,,,,,0,0,0,
SPD766,MgO,,464,,,0,,0,In Nitrogen Box,Targeting 500 ohm/sq on RT MgO,,,3/25/13,296,MgO,,,20,125,400,8,26.5,2.5,40,,,,,,,,,464.4,,,,,,0,0,0,
SPD767,SiNx,,,,,0,,0,In Nitrogen Box,In AJA for Run 294 and 295 covering chuck opening,,,3/25/13,296,SiNx,,,20,200,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD768,SiNx,,,581.82,7.95,0,,0,In Nitrogen Box,In AJA for Run 294 and 295 covering chuck opening,,,3/25/13,296,SiNx,,,20,200,400,8,26.5,2.5,40,,,,,,,,,,,,,,,0,0,0,
SPD769,MgO,6.9,591,7.92,1.87,409,0.707,"32,381",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.228,0.4646,0.3074,based on T,6.92,,590.8,,7.92,1.87,0.71,,408.85,"32,381.03",3.64,
SPD770,MgO,6.9,566,8.17,1.77,389,0.715,"31,981",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2251,0.466,0.3088,based on T,6.88,,565.7,,8.17,1.77,0.72,,389.18,"31,980.89",3.64,
SPD771,MgO,6.9,582,7.95,1.82,401,0.717,"31,823",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test. DOA",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2222,0.4654,0.3124,based on T,6.9,,581.8,,7.95,1.82,0.72,,401.45,"31,822.99",3.62,
SPD772,MgO,6.9,574,8.06,1.78,396,0.724,"31,896",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2312,0.4649,0.3039,based on T,6.91,,573.5,,8.06,1.78,0.72,,396.3,"31,895.71",3.63,
SPD773,MgO,6.9,537,8.39,1.7,370,0.717,"31,109",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2235,0.4657,0.3108,based on T,6.89,,536.6,,8.39,1.7,0.72,,369.71,"31,108.59",3.64,
SPD774,MgO,6.9,501,8.8,1.65,345,0.733,"30,382",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test. DOA",,,3/25/13,297,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2236,0.4661,0.3103,based on T,6.88,,501.1,,8.8,1.65,0.73,,344.74,"30,381.62",3.63,
SPD775,MgO,6.9,566,8.34,1.83,390,0.709,"32,504",In Nitrogen Box,"Room Temp, low pressure, Uniformity Test",,,3/26/13,298,MgO,,,20,114,400,8,26.5,2.5,40,,,0.2271,0.4663,0.3067,based on T,6.88,,566.5,,8.34,1.83,0.71,,389.73,"32,503.71",3.62,
